param_id,Death_Rate,value,Region
API,4.54,0.023,East_Metro
CO,4.54,0.011000000000000001,East_Metro
NO2,4.54,0.361,East_Metro
O3,4.54,0.667,East_Metro
PM10,4.54,0.6509999999999999,East_Metro
SO2,4.54,-0.021,East_Metro
API,9.54,0.019,Geelong
CO,9.54,0.006999999999999999,Geelong
NO2,9.54,0.22899999999999998,Geelong
O3,9.54,0.665,Geelong
PM10,9.54,0.71,Geelong
SO2,9.54,0.034,Geelong
API,10.58,0.026000000000000002,Gippsland
NO2,10.58,0.289,Gippsland
O3,10.58,0.624,Gippsland
PM10,10.58,0.72,Gippsland
SO2,10.58,0.087,Gippsland
API,6.93,0.021,NorthE_Metro
CO,6.93,0.009000000000000001,NorthE_Metro
NO2,6.93,0.344,NorthE_Metro
O3,6.93,0.604,NorthE_Metro
PM10,6.93,0.667,NorthE_Metro
PPM2.5,6.93,0.265,NorthE_Metro
SO2,6.93,0.036000000000000004,NorthE_Metro
API,6.37,0.022000000000000002,South_Metro
NO2,6.37,0.34700000000000003,South_Metro
O3,6.37,0.6940000000000001,South_Metro
PM10,6.37,0.63,South_Metro
