sp_name,month,param_id,value
Alphington,1,API,0.54
Alphington,1,BPM2.5,12.16
Alphington,1,CO,0.16
Alphington,1,NO2,6.42
Alphington,1,O3,20.9
Alphington,1,PM10,20.33
Alphington,1,PPM2.5,8.22
Alphington,1,SO2,0.54
Alphington,2,API,0.96
Alphington,2,BPM2.5,14.22
Alphington,2,CO,0.26
Alphington,2,NO2,9.61
Alphington,2,O3,19.83
Alphington,2,PM10,26.24
Alphington,2,PPM2.5,15.26
Alphington,2,SO2,0.78
Alphington,3,API,0.52
Alphington,3,BPM2.5,7.06
Alphington,3,CO,0.23
Alphington,3,NO2,10.02
Alphington,3,O3,14.84
Alphington,3,PM10,16.78
Alphington,3,PPM2.5,6.52
Alphington,3,SO2,0.68
Alphington,4,API,0.54
Alphington,4,BPM2.5,7.68
Alphington,4,CO,0.28
Alphington,4,NO2,10.09
Alphington,4,O3,13.13
Alphington,4,PM10,13.72
Alphington,4,PPM2.5,6.5
Alphington,4,SO2,0.51
Alphington,5,API,0.62
Alphington,5,BPM2.5,9.0
Alphington,5,CO,0.43
Alphington,5,NO2,11.23
Alphington,5,O3,10.29
Alphington,5,PM10,15.12
Alphington,5,PPM2.5,8.06
Alphington,5,SO2,0.54
Alphington,6,API,0.59
Alphington,6,BPM2.5,7.73
Alphington,6,CO,0.39
Alphington,6,NO2,11.45
Alphington,6,O3,12.14
Alphington,6,PM10,12.78
Alphington,6,PPM2.5,6.71
Alphington,6,SO2,0.57
Alphington,7,API,0.55
Alphington,7,BPM2.5,6.54
Alphington,7,CO,0.34
Alphington,7,NO2,10.52
Alphington,7,O3,14.03
Alphington,7,PM10,11.2
Alphington,7,PPM2.5,6.58
Alphington,7,SO2,0.62
Alphington,8,API,0.73
Alphington,8,BPM2.5,10.31
Alphington,8,CO,0.4
Alphington,8,NO2,14.18
Alphington,8,O3,11.8
Alphington,8,PM10,15.16
Alphington,8,PPM2.5,9.27
Alphington,8,SO2,0.69
Alphington,9,API,0.49
Alphington,9,BPM2.5,7.46
Alphington,9,CO,0.31
Alphington,9,NO2,10.67
Alphington,9,O3,15.75
Alphington,9,PM10,13.9
Alphington,9,PPM2.5,6.98
Alphington,9,SO2,0.61
Alphington,10,API,0.49
Alphington,10,BPM2.5,7.35
Alphington,10,CO,0.27
Alphington,10,NO2,8.34
Alphington,10,O3,19.19
Alphington,10,PM10,17.74
Alphington,10,PPM2.5,6.59
Alphington,10,SO2,0.47
Alphington,11,API,0.46
Alphington,11,BPM2.5,7.75
Alphington,11,CO,0.23
Alphington,11,NO2,7.6
Alphington,11,O3,15.5
Alphington,11,PM10,18.63
Alphington,11,PPM2.5,6.25
Alphington,11,SO2,0.7
Alphington,12,API,0.5
Alphington,12,BPM2.5,6.79
Alphington,12,CO,0.23
Alphington,12,NO2,4.74
Alphington,12,O3,15.69
Alphington,12,PM10,16.61
Alphington,12,PPM2.5,5.59
Alphington,12,SO2,0.5
Altona North,1,NO2,5.14
Altona North,1,O3,20.51
Altona North,1,SO2,1.24
Altona North,2,NO2,7.31
Altona North,2,O3,20.19
Altona North,2,SO2,1.87
Altona North,3,NO2,7.63
Altona North,3,O3,16.81
Altona North,3,SO2,1.26
Altona North,4,NO2,9.75
Altona North,4,O3,15.38
Altona North,4,SO2,1.37
Altona North,5,NO2,13.34
Altona North,5,O3,11.0
Altona North,5,SO2,1.6
Altona North,6,NO2,11.06
Altona North,6,O3,13.76
Altona North,6,SO2,1.16
Altona North,7,NO2,11.27
Altona North,7,O3,14.96
Altona North,7,SO2,1.63
Altona North,8,NO2,12.6
Altona North,8,SO2,1.65
Altona North,9,NO2,10.33
Altona North,9,SO2,1.57
Altona North,10,NO2,7.77
Altona North,10,O3,26.75
Altona North,10,SO2,2.32
Altona North,11,NO2,7.47
Altona North,11,O3,20.09
Altona North,11,SO2,2.21
Altona North,12,NO2,5.0
Altona North,12,O3,17.65
Altona North,12,SO2,1.56
Box.Hill,1,API,0.56
Box.Hill,1,CO,0.12
Box.Hill,1,NO2,5.48
Box.Hill,1,O3,21.22
Box.Hill,1,PM10,21.73
Box.Hill,1,SO2,-1.0
Box.Hill,2,API,1.02
Box.Hill,2,CO,0.2
Box.Hill,2,NO2,8.18
Box.Hill,2,O3,20.23
Box.Hill,2,PM10,29.42
Box.Hill,2,SO2,0.45
Box.Hill,3,API,0.49
Box.Hill,3,CO,0.08
Box.Hill,3,NO2,8.23
Box.Hill,3,O3,15.97
Box.Hill,3,PM10,18.09
Box.Hill,3,SO2,0.4
Box.Hill,4,API,0.51
Box.Hill,4,CO,0.13
Box.Hill,4,NO2,8.63
