sp_name,month,param_id,value
Alphington,1,API,0.58
Alphington,1,CO,0.26
Alphington,1,NO2,6.58
Alphington,1,O3,18.33
Alphington,1,PM10,22.29
Alphington,1,PPM2.5,7.21
Alphington,1,SO2,0.63
Alphington,2,API,0.52
Alphington,2,CO,0.22
Alphington,2,NO2,7.05
Alphington,2,O3,13.13
Alphington,2,PM10,18.42
Alphington,2,PPM2.5,6.46
Alphington,2,SO2,0.59
Alphington,3,API,0.55
Alphington,3,CO,0.33
Alphington,3,NO2,10.05
Alphington,3,O3,15.2
Alphington,3,PM10,22.0
Alphington,3,PPM2.5,7.12
Alphington,3,SO2,0.92
Alphington,4,API,1.06
Alphington,4,CO,0.49
Alphington,4,NO2,13.08
Alphington,4,O3,12.21
Alphington,4,PM10,23.89
Alphington,4,PPM2.5,14.29
Alphington,4,SO2,0.66
Alphington,5,API,0.81
Alphington,5,CO,0.68
Alphington,5,NO2,15.06
Alphington,5,O3,5.23
Alphington,5,PM10,17.4
Alphington,5,PPM2.5,11.64
Alphington,5,SO2,1.03
Alphington,6,API,0.76
Alphington,6,CO,0.44
Alphington,6,NO2,12.65
Alphington,6,O3,6.12
Alphington,6,PM10,15.29
Alphington,6,PPM2.5,9.61
Alphington,6,SO2,1.05
Alphington,7,API,0.56
Alphington,7,CO,0.5
Alphington,7,NO2,14.16
Alphington,7,O3,10.81
Alphington,7,PM10,12.79
Alphington,7,PPM2.5,7.26
Alphington,7,SO2,0.69
Alphington,8,API,0.52
Alphington,8,CO,0.42
Alphington,8,NO2,13.81
Alphington,8,O3,12.45
Alphington,8,PM10,11.69
Alphington,8,PPM2.5,7.03
Alphington,8,SO2,0.79
Alphington,9,API,0.5
Alphington,9,CO,0.3
Alphington,9,NO2,10.76
Alphington,9,O3,15.11
Alphington,9,PM10,18.68
Alphington,9,PPM2.5,5.76
Alphington,9,SO2,0.74
Alphington,10,API,0.52
Alphington,10,CO,0.27
Alphington,10,NO2,11.12
Alphington,10,O3,16.45
Alphington,10,PM10,22.75
Alphington,10,PPM2.5,5.59
Alphington,10,SO2,0.63
Alphington,11,API,0.46
Alphington,11,CO,0.19
Alphington,11,NO2,8.33
Alphington,11,O3,14.55
Alphington,11,PM10,18.36
Alphington,11,PPM2.5,5.68
Alphington,11,SO2,0.51
Alphington,12,API,0.42
Alphington,12,CO,0.2
