sp_name,month,param_id,value
Alphington,1,API,0.4
Alphington,1,CO,0.22
Alphington,1,NO2,8.84
Alphington,1,O3,12.4
Alphington,1,PM10,16.71
Alphington,1,PPM2.5,4.8
Alphington,1,SO2,0.43
Alphington,2,API,0.48
Alphington,2,CO,0.31
Alphington,2,NO2,10.98
Alphington,2,O3,11.89
Alphington,2,PM10,21.32
Alphington,2,PPM2.5,7.25
Alphington,2,SO2,0.58
Alphington,3,API,0.42
Alphington,3,CO,0.29
Alphington,3,NO2,10.61
Alphington,3,O3,11.84
Alphington,3,PM10,21.52
Alphington,3,PPM2.5,7.01
Alphington,3,SO2,0.73
Alphington,4,API,0.54
Alphington,4,CO,0.25
Alphington,4,NO2,12.78
Alphington,4,O3,11.49
Alphington,4,PM10,22.19
Alphington,4,PPM2.5,8.03
Alphington,4,SO2,0.96
Alphington,5,API,0.73
Alphington,5,CO,0.52
Alphington,5,NO2,14.28
Alphington,5,O3,8.79
Alphington,5,PM10,18.49
Alphington,5,PPM2.5,10.36
Alphington,5,SO2,0.87
Alphington,6,API,0.52
Alphington,6,CO,0.38
Alphington,6,NO2,12.34
Alphington,6,O3,12.08
Alphington,6,PM10,14.45
Alphington,6,PPM2.5,5.35
Alphington,6,SO2,0.3
Alphington,7,API,0.59
Alphington,7,CO,0.51
Alphington,7,NO2,14.54
Alphington,7,O3,11.01
Alphington,7,PM10,13.33
Alphington,7,PPM2.5,6.99
Alphington,7,SO2,0.41
Alphington,8,API,0.6
Alphington,8,CO,0.53
Alphington,8,NO2,14.38
Alphington,8,O3,10.5
Alphington,8,PM10,13.77
Alphington,8,PPM2.5,7.46
Alphington,8,SO2,0.46
Alphington,9,API,0.51
Alphington,9,CO,0.47
Alphington,9,NO2,14.1
Alphington,9,O3,11.71
Alphington,9,PM10,11.78
Alphington,9,PPM2.5,5.74
Alphington,9,SO2,0.53
Alphington,10,API,0.49
Alphington,10,CO,0.46
Alphington,10,NO2,11.83
Alphington,10,O3,14.28
Alphington,10,PM10,17.58
