sp_name,month,param_id,value
Alphington,1,API,0.48
Alphington,1,CO,0.02
Alphington,1,NO2,5.45
Alphington,1,O3,14.22
Alphington,1,PM10,21.71
Alphington,1,PPM2.5,6.72
Alphington,1,SO2,-1.32
Alphington,2,API,0.5
Alphington,2,CO,0.04
Alphington,2,NO2,6.56
Alphington,2,O3,14.63
Alphington,2,PM10,20.89
Alphington,2,PPM2.5,6.4
Alphington,2,SO2,-1.52
Alphington,3,API,0.53
Alphington,3,CO,0.06
Alphington,3,NO2,8.17
Alphington,3,O3,14.47
Alphington,3,PM10,18.46
Alphington,3,PPM2.5,7.49
Alphington,3,SO2,-1.54
Alphington,4,API,0.54
Alphington,4,CO,0.1
Alphington,4,NO2,8.38
Alphington,4,O3,12.05
Alphington,4,PM10,17.28
Alphington,4,PPM2.5,7.25
Alphington,4,SO2,-1.13
Alphington,5,API,0.78
Alphington,5,CO,0.41
Alphington,5,NO2,11.48
Alphington,5,O3,7.04
Alphington,5,PM10,18.25
Alphington,5,PPM2.5,10.64
Alphington,5,SO2,-1.02
Alphington,6,API,0.77
Alphington,6,CO,0.36
Alphington,6,NO2,11.72
Alphington,6,O3,7.79
Alphington,6,PM10,16.84
Alphington,6,PPM2.5,10.48
Alphington,6,SO2,-0.8
Alphington,7,API,0.76
Alphington,7,CO,0.47
Alphington,7,NO2,12.35
Alphington,7,O3,7.31
Alphington,7,PM10,15.4
Alphington,7,PPM2.5,10.54
Alphington,7,SO2,-1.22
Alphington,8,API,0.48
Alphington,8,CO,0.13
Alphington,8,NO2,9.26
Alphington,8,O3,12.15
Alphington,8,PM10,12.05
Alphington,8,PPM2.5,6.89
Alphington,8,SO2,-1.32
Alphington,9,API,0.45
Alphington,9,CO,0.07
Alphington,9,NO2,9.36
Alphington,9,O3,16.5
Alphington,9,PM10,15.45
Alphington,9,PPM2.5,4.88
Alphington,9,SO2,-0.4
Alphington,10,API,0.46
Alphington,10,CO,0.06
Alphington,10,NO2,9.9
Alphington,10,O3,15.71
Alphington,10,PM10,18.08
Alphington,10,PPM2.5,5.54
Alphington,10,SO2,0.32
Alphington,11,API,0.44
Alphington,11,CO,0.03
Alphington,11,NO2,8.12
Alphington,11,O3,14.62
Alphington,11,PM10,16.55
Alphington,11,PPM2.5,5.55
Alphington,11,SO2,0.47
Alphington,12,API,0.45
Alphington,12,CO,0.03
Alphington,12,NO2,7.48
Alphington,12,O3,11.43
Alphington,12,PM10,15.11
Alphington,12,PPM2.5,5.03
Alphington,12,SO2,0.42
