sp_name,month,param_id,value
Alphington,1,API,0.49
Alphington,1,CO,0.34
Alphington,1,NO2,8.6
Alphington,1,O3,15.9
Alphington,1,PM10,18.62
Alphington,1,PPM2.5,6.33
Alphington,1,SO2,0.58
Alphington,2,API,0.51
Alphington,2,CO,0.39
Alphington,2,NO2,9.09
Alphington,2,O3,13.83
Alphington,2,PM10,16.74
Alphington,2,PPM2.5,5.58
Alphington,2,SO2,0.39
Alphington,3,API,0.6
Alphington,3,CO,0.45
Alphington,3,NO2,10.08
Alphington,3,O3,12.83
Alphington,3,PM10,19.66
Alphington,3,PPM2.5,8.93
Alphington,3,SO2,0.53
Alphington,4,API,0.74
Alphington,4,CO,0.53
Alphington,4,NO2,13.44
Alphington,4,O3,12.28
Alphington,4,PM10,25.02
Alphington,4,PPM2.5,10.76
Alphington,4,SO2,0.6
Alphington,5,API,0.76
Alphington,5,CO,0.69
Alphington,5,NO2,15.1
Alphington,5,O3,9.18
Alphington,5,PM10,21.5
Alphington,5,PPM2.5,13.9
Alphington,5,SO2,0.54
Alphington,6,API,0.95
Alphington,6,CO,0.75
Alphington,6,NO2,14.63
Alphington,6,O3,9.46
Alphington,6,PM10,17.97
Alphington,6,PPM2.5,15.43
Alphington,6,SO2,0.38
Alphington,7,API,0.69
Alphington,7,CO,0.62
Alphington,7,NO2,13.1
Alphington,7,O3,9.84
Alphington,7,PM10,13.43
Alphington,7,PPM2.5,7.03
Alphington,7,SO2,0.36
Alphington,8,API,0.56
Alphington,8,CO,0.45
Alphington,8,NO2,11.82
Alphington,8,O3,15.15
Alphington,8,PM10,13.25
Alphington,8,PPM2.5,6.06
Alphington,8,SO2,0.33
Alphington,9,API,0.56
Alphington,9,CO,0.47
Alphington,9,NO2,13.1
Alphington,9,O3,12.75
Alphington,9,PM10,14.29
Alphington,9,PPM2.5,7.09
Alphington,9,SO2,0.32
Alphington,10,API,0.41
Alphington,10,CO,0.43
Alphington,10,NO2,11.32
Alphington,10,O3,16.91
Alphington,10,PM10,16.44
Alphington,10,PPM2.5,5.66
Alphington,10,SO2,0.22
Alphington,11,API,0.42
Alphington,11,CO,0.38
Alphington,11,NO2,7.97
Alphington,11,O3,17.1
Alphington,11,PM10,15.52
Alphington,11,PPM2.5,7.32
Alphington,11,SO2,0.24
Alphington,12,API,0.41
Alphington,12,CO,0.36
Alphington,12,NO2,8.09
Alphington,12,O3,17.02
Alphington,12,PM10,21.09
Alphington,12,PPM2.5,8.11
Alphington,12,SO2,0.24
Altona North,1,API,0.42
Altona North,1,NO2,5.4
Altona North,1,O3,16.84
Altona North,1,SO2,1.68
Altona North,2,API,0.41
Altona North,2,NO2,6.03
Altona North,2,O3,14.45
Altona North,2,SO2,0.76
Altona North,3,API,0.5
Altona North,3,NO2,8.27
Altona North,3,O3,14.65
Altona North,3,SO2,1.37
Altona North,4,API,0.62
Altona North,4,NO2,12.63
Altona North,4,O3,14.09
Altona North,4,SO2,1.23
Altona North,5,API,0.54
Altona North,5,NO2,13.15
Altona North,5,O3,11.68
Altona North,5,SO2,2.09
Altona North,6,API,0.73
Altona North,6,NO2,17.6
Altona North,6,O3,7.92
Altona North,6,SO2,1.7
Altona North,7,API,0.42
Altona North,7,NO2,11.16
Altona North,7,O3,10.57
Altona North,7,SO2,1.63
Altona North,8,API,0.39
Altona North,8,NO2,10.88
Altona North,8,O3,15.88
Altona North,8,SO2,2.38
Altona North,9,API,0.38
Altona North,9,NO2,10.66
Altona North,9,O3,17.69
Altona North,9,SO2,2.34
Altona North,10,API,0.41
Altona North,10,NO2,9.32
Altona North,10,O3,20.18
Altona North,10,SO2,2.04
Altona North,11,API,0.39
Altona North,11,NO2,6.93
Altona North,11,O3,21.55
Altona North,11,SO2,1.46
