sp_name,month,param_id,value
Alphington,1,API,0.55
Alphington,1,CO,0.02
Alphington,1,NO2,7.98
Alphington,1,O3,15.25
Alphington,1,PM10,16.5
Alphington,1,PPM2.5,7.96
Alphington,1,SO2,0.57
Alphington,2,API,0.5
Alphington,2,CO,0.03
Alphington,2,NO2,8.81
Alphington,2,O3,12.49
Alphington,2,PM10,14.43
Alphington,2,PPM2.5,6.61
Alphington,2,SO2,0.43
Alphington,3,API,0.55
Alphington,3,CO,0.04
Alphington,3,NO2,8.54
Alphington,3,O3,12.62
Alphington,3,PM10,16.93
Alphington,3,PPM2.5,6.67
Alphington,3,SO2,0.14
Alphington,4,API,0.61
Alphington,4,CO,0.14
Alphington,4,NO2,11.45
Alphington,4,O3,10.4
Alphington,4,PM10,16.1
Alphington,4,PPM2.5,7.27
Alphington,4,SO2,0.57
Alphington,5,API,0.64
Alphington,5,CO,0.22
Alphington,5,NO2,13.49
Alphington,5,O3,10.53
Alphington,5,PM10,15.02
Alphington,5,PPM2.5,10.52
Alphington,5,SO2,0.57
Alphington,6,API,0.63
Alphington,6,CO,0.29
Alphington,6,NO2,13.09
Alphington,6,O3,12.09
Alphington,6,PM10,14.73
Alphington,6,PPM2.5,6.79
Alphington,6,SO2,0.47
Alphington,7,API,0.54
Alphington,7,CO,0.19
Alphington,7,NO2,12.61
Alphington,7,O3,15.53
Alphington,7,PM10,12.97
Alphington,7,PPM2.5,7.13
Alphington,7,SO2,0.39
Alphington,8,API,0.6
Alphington,8,CO,0.17
Alphington,8,NO2,13.19
Alphington,8,O3,12.83
Alphington,8,PM10,13.3
Alphington,8,PPM2.5,9.02
Alphington,8,SO2,0.31
Alphington,9,API,0.5
Alphington,9,CO,0.07
Alphington,9,NO2,10.67
Alphington,9,O3,19.16
Alphington,9,PM10,15.82
Alphington,9,PPM2.5,6.92
Alphington,9,SO2,0.24
Alphington,10,API,0.48
Alphington,10,CO,0.05
Alphington,10,NO2,9.66
Alphington,10,O3,17.72
Alphington,10,PM10,13.68
Alphington,10,PPM2.5,5.66
Alphington,10,SO2,0.34
Alphington,11,API,0.43
Alphington,11,CO,0.04
Alphington,11,NO2,9.16
Alphington,11,O3,18.59
Alphington,11,PM10,15.46
Alphington,11,PPM2.5,5.67
Alphington,11,SO2,0.33
Alphington,12,API,0.47
Alphington,12,CO,0.01
Alphington,12,NO2,6.48
Alphington,12,O3,19.61
Alphington,12,PM10,16.02
Alphington,12,PPM2.5,6.66
Alphington,12,SO2,0.22
Altona North,1,NO2,5.91
Altona North,1,O3,18.07
Altona North,1,SO2,1.67
Altona North,2,NO2,6.24
Altona North,2,O3,15.3
Altona North,2,SO2,1.52
Altona North,3,NO2,6.75
Altona North,3,O3,14.34
Altona North,3,SO2,1.64
Altona North,4,NO2,11.38
Altona North,4,O3,10.59
Altona North,4,SO2,2.16
Altona North,5,NO2,10.06
Altona North,5,O3,12.7
Altona North,5,SO2,1.42
Altona North,6,NO2,12.38
Altona North,6,O3,10.93
Altona North,6,SO2,1.82
Altona North,7,NO2,11.42
