sp_name,year,month,param_id,PV
Alphington,2014,1,API,372.74000000000007
Alphington,2014,1,BPM2.5,729.9000000000001
Alphington,2014,1,CO,110.19999999999965
Alphington,2014,1,NO2,4508.0
Alphington,2014,1,O3,14672.0
Alphington,2014,1,PM10,15122.199999999993
Alphington,2014,1,PPM2.5,82.2
Alphington,2014,1,SO2,376.0
Alphington,2014,2,API,615.6599999999984
Alphington,2014,2,BPM2.5,9544.600000000013
Alphington,2014,2,CO,165.59999999999872
Alphington,2014,2,NO2,6180.0
Alphington,2014,2,O3,12749.0
Alphington,2014,2,PM10,17552.999999999985
Alphington,2014,2,PPM2.5,137.29999999999998
Alphington,2014,2,SO2,499.0
Alphington,2014,3,API,368.87999999999994
Alphington,2014,3,BPM2.5,5249.699999999998
Alphington,2014,3,CO,164.2
Alphington,2014,3,NO2,7124.0
Alphington,2014,3,O3,10552.0
Alphington,2014,3,PM10,12485.099999999999
Alphington,2014,3,PPM2.5,71.69999999999999
Alphington,2014,3,SO2,482.0
Alphington,2014,4,API,367.58000000000044
Alphington,2014,4,BPM2.5,5525.0
Alphington,2014,4,CO,190.99999999999932
Alphington,2014,4,NO2,6878.0
Alphington,2014,4,O3,8943.0
Alphington,2014,4,PM10,9703.40000000001
Alphington,2014,4,PPM2.5,65.0
Alphington,2014,4,SO2,346.0
Alphington,2014,5,API,440.9400000000002
Alphington,2014,5,BPM2.5,6696.900000000006
Alphington,2014,5,CO,306.00000000000006
Alphington,2014,5,NO2,7985.0
Alphington,2014,5,O3,7338.0
Alphington,2014,5,PM10,11192.200000000012
Alphington,2014,5,PPM2.5,80.6
Alphington,2014,5,SO2,384.0
Alphington,2014,6,API,379.43000000000006
Alphington,2014,6,BPM2.5,5236.2999999999965
Alphington,2014,6,CO,257.7999999999995
Alphington,2014,6,NO2,7568.0
Alphington,2014,6,O3,8024.0
Alphington,2014,6,PM10,8870.799999999996
Alphington,2014,6,PPM2.5,67.1
Alphington,2014,6,SO2,379.0
Alphington,2014,7,API,389.05
Alphington,2014,7,BPM2.5,4861.000000000001
Alphington,2014,7,CO,237.10000000000005
Alphington,2014,7,NO2,7426.0
Alphington,2014,7,O3,9878.0
Alphington,2014,7,PM10,7278.800000000004
Alphington,2014,7,PPM2.5,52.6
Alphington,2014,7,SO2,430.0
Alphington,2014,8,API,513.5999999999999
Alphington,2014,8,BPM2.5,7588.8
Alphington,2014,8,CO,282.09999999999957
Alphington,2014,8,NO2,9943.0
Alphington,2014,8,O3,8317.0
Alphington,2014,8,PM10,11170.199999999988
Alphington,2014,8,PPM2.5,102.0
