sp_name,year,month,param_id,PV
Alphington,2012,1,API,359.00000000000006
Alphington,2012,1,CO,6.89999999999999
Alphington,2012,1,NO2,3387.0
Alphington,2012,1,O3,9895.0
Alphington,2012,1,PM10,12563.800000000001
Alphington,2012,1,PPM2.5,65.00000000000001
Alphington,2012,1,SO2,167.0
Alphington,2012,2,API,300.0799999999997
Alphington,2012,2,CO,22.900000000000027
Alphington,2012,2,NO2,1194.0
Alphington,2012,2,O3,2498.0
Alphington,2012,2,PM10,9835.699999999995
Alphington,2012,2,PPM2.5,61.99999999999999
Alphington,2012,2,SO2,19.0
Alphington,2012,3,API,328.4000000000003
Alphington,2012,3,CO,58.300000000000125
Alphington,2012,3,NO2,4629.0
Alphington,2012,3,O3,7404.0
Alphington,2012,3,PM10,10437.500000000005
Alphington,2012,3,PPM2.5,59.3
Alphington,2012,3,SO2,340.0
Alphington,2012,4,API,417.4600000000005
Alphington,2012,4,CO,42.10000000000003
Alphington,2012,4,NO2,1556.0
Alphington,2012,4,O3,1755.0
Alphington,2012,4,PM10,11742.600000000008
Alphington,2012,4,PPM2.5,81.3
Alphington,2012,4,SO2,70.0
Alphington,2012,5,API,378.81
Alphington,2012,5,CO,198.69999999999925
Alphington,2012,5,NO2,8189.0
Alphington,2012,5,O3,9048.0
Alphington,2012,5,PM10,10898.0
Alphington,2012,5,PPM2.5,74.69999999999999
Alphington,2012,5,SO2,387.0
Alphington,2012,6,API,340.71000000000015
Alphington,2012,6,CO,187.49999999999883
Alphington,2012,6,NO2,7400.0
Alphington,2012,6,O3,6312.0
Alphington,2012,6,PM10,8072.9000000000015
Alphington,2012,6,PPM2.5,74.1
Alphington,2012,6,SO2,205.0
Alphington,2012,7,API,419.09000000000003
Alphington,2012,7,CO,11.300000000000004
Alphington,2012,7,NO2,650.0
Alphington,2012,7,O3,734.0
Alphington,2012,7,PM10,8395.400000000003
Alphington,2012,7,PPM2.5,79.79999999999998
Alphington,2012,7,SO2,53.0
Alphington,2012,8,API,309.4600000000003
Alphington,2012,8,PM10,8594.999999999995
Alphington,2012,8,PPM2.5,51.5
Alphington,2012,9,API,351.31999999999977
Alphington,2012,9,PM10,10820.600000000024
Alphington,2012,9,PPM2.5,76.39999999999999
Alphington,2012,10,API,310.2699999999997
Alphington,2012,10,PM10,12352.999999999993
Alphington,2012,10,PPM2.5,57.30000000000001
Alphington,2012,11,API,343.8600000000001
Alphington,2012,11,PM10,12379.099999999986
Alphington,2012,11,PPM2.5,64.00000000000001
Alphington,2012,12,API,292.6399999999999
Alphington,2012,12,PM10,12754.800000000007
Alphington,2012,12,PPM2.5,50.9
Altona North,2012,1,NO2,3225.0
Altona North,2012,1,O3,10922.0
Altona North,2012,1,SO2,1619.0
Altona North,2012,2,NO2,3720.0
Altona North,2012,2,O3,10363.0
Altona North,2012,2,SO2,775.0
Altona North,2012,3,NO2,3205.0
Altona North,2012,3,O3,8253.0
Altona North,2012,3,SO2,945.0
Altona North,2012,4,NO2,6033.0
Altona North,2012,4,O3,6254.0
Altona North,2012,4,SO2,1268.0
Altona North,2012,5,NO2,7276.0
Altona North,2012,5,O3,6537.0
Altona North,2012,5,SO2,1088.0
Altona North,2012,6,NO2,9099.0
Altona North,2012,6,O3,8920.0
Altona North,2012,6,SO2,1059.0
Altona North,2012,7,NO2,9853.0
Altona North,2012,7,O3,8469.0
Altona North,2012,7,SO2,1578.0
Altona North,2012,8,NO2,7030.0
Altona North,2012,8,O3,12671.0
Altona North,2012,8,SO2,671.0
Altona North,2012,9,NO2,7075.0
Altona North,2012,9,O3,12081.0
Altona North,2012,9,SO2,964.0
Altona North,2012,10,NO2,6249.0
Altona North,2012,10,O3,14187.0
Altona North,2012,10,SO2,1276.0
Altona North,2012,11,NO2,4731.0
Altona North,2012,11,O3,13835.0
Altona North,2012,11,SO2,1014.0
Altona North,2012,12,NO2,4497.0
Altona North,2012,12,O3,13122.0
Altona North,2012,12,SO2,1528.0
Box.Hill,2012,1,API,324.6599999999999
Box.Hill,2012,1,CO,161.90000000000023
Box.Hill,2012,1,NO2,2275.0
Box.Hill,2012,1,O3,11679.0
Box.Hill,2012,1,PM10,14101.499999999996
Box.Hill,2012,1,SO2,-1104.0
Box.Hill,2012,2,API,287.4000000000002
Box.Hill,2012,2,CO,199.1
Box.Hill,2012,2,NO2,3819.0
Box.Hill,2012,2,O3,10356.0
Box.Hill,2012,2,PM10,7377.300000000005
Box.Hill,2012,2,SO2,-804.0
Box.Hill,2012,3,API,307.9800000000003
Box.Hill,2012,3,CO,225.89999999999964
Box.Hill,2012,3,NO2,4918.0
Box.Hill,2012,3,O3,9289.0
Box.Hill,2012,3,PM10,10707.7
Box.Hill,2012,3,SO2,-635.0
Box.Hill,2012,4,API,377.3900000000001
Box.Hill,2012,4,CO,212.39999999999995
Box.Hill,2012,4,NO2,5871.0
Box.Hill,2012,4,O3,8768.0
Box.Hill,2012,4,PM10,10875.799999999992
Box.Hill,2012,4,SO2,180.0
Box.Hill,2012,5,API,345.2299999999995
Box.Hill,2012,5,CO,242.79999999999998
Box.Hill,2012,5,NO2,7868.0
Box.Hill,2012,5,O3,8824.0
Box.Hill,2012,5,PM10,10192.700000000004
Box.Hill,2012,5,SO2,300.0
Box.Hill,2012,6,API,339.3599999999996
Box.Hill,2012,6,CO,220.49999999999966
Box.Hill,2012,6,NO2,7688.0
Box.Hill,2012,6,O3,7967.0
Box.Hill,2012,6,PM10,8483.899999999992
Box.Hill,2012,6,SO2,305.0
Box.Hill,2012,7,API,351.13000000000005
Box.Hill,2012,7,CO,293.50000000000006
Box.Hill,2012,7,NO2,7994.0
Box.Hill,2012,7,O3,7678.0
Box.Hill,2012,7,PM10,7227.40000000001
Box.Hill,2012,7,SO2,319.0
Box.Hill,2012,8,API,278.0300000000004
Box.Hill,2012,8,CO,204.09999999999962
Box.Hill,2012,8,NO2,5550.0
Box.Hill,2012,8,O3,12497.0
Box.Hill,2012,8,PM10,7436.3
Box.Hill,2012,8,SO2,121.0
Box.Hill,2012,9,API,327.4499999999999
Box.Hill,2012,9,CO,196.4000000000001
