sp_name,year,month,param_id,PV
Alphington,2005,1,API,346.6299999999999
Alphington,2005,1,CO,237.0000000000018
Alphington,2005,1,NO2,6060.0
Alphington,2005,1,O3,10130.0
Alphington,2005,1,PM10,13553.000000000005
Alphington,2005,1,PPM2.5,63.3
Alphington,2005,1,SO2,412.0
Alphington,2005,2,API,327.3200000000001
Alphington,2005,2,CO,246.10000000000088
Alphington,2005,2,NO2,5715.0
Alphington,2005,2,O3,8698.0
Alphington,2005,2,PM10,10915.299999999997
Alphington,2005,2,PPM2.5,55.8
Alphington,2005,2,SO2,248.0
Alphington,2005,3,API,396.03
Alphington,2005,3,CO,301.89999999999986
Alphington,2005,3,NO2,7023.0
Alphington,2005,3,O3,8932.0
Alphington,2005,3,PM10,14328.900000000005
Alphington,2005,3,PPM2.5,80.4
Alphington,2005,3,SO2,349.0
Alphington,2005,4,API,478.8400000000004
Alphington,2005,4,CO,355.39999999999964
Alphington,2005,4,NO2,8964.0
Alphington,2005,4,O3,8229.0
Alphington,2005,4,PM10,17614.8
Alphington,2005,4,PPM2.5,96.8
Alphington,2005,4,SO2,402.0
Alphington,2005,5,API,534.3600000000005
Alphington,2005,5,CO,479.69999999999953
Alphington,2005,5,NO2,10552.0
Alphington,2005,5,O3,6423.0
Alphington,2005,5,PM10,13587.799999999996
Alphington,2005,5,PPM2.5,139.00000000000003
Alphington,2005,5,SO2,374.0
Alphington,2005,6,API,643.4800000000001
Alphington,2005,6,CO,511.3999999999999
Alphington,2005,6,NO2,10022.0
Alphington,2005,6,O3,6477.0
Alphington,2005,6,PM10,12868.200000000013
Alphington,2005,6,PPM2.5,154.3
Alphington,2005,6,SO2,261.0
Alphington,2005,7,API,488.3400000000001
Alphington,2005,7,CO,442.4
Alphington,2005,7,NO2,9277.0
Alphington,2005,7,O3,6967.0
Alphington,2005,7,PM10,9927.500000000007
Alphington,2005,7,PPM2.5,49.2
Alphington,2005,7,SO2,254.0
Alphington,2005,8,API,381.1800000000002
Alphington,2005,8,CO,316.7000000000012
Alphington,2005,8,NO2,8378.0
Alphington,2005,8,O3,10738.0
Alphington,2005,8,PM10,9817.600000000002
Alphington,2005,8,PPM2.5,60.599999999999994
Alphington,2005,8,SO2,236.0
Alphington,2005,9,API,281.6800000000001
Alphington,2005,9,CO,234.00000000000034
Alphington,2005,9,NO2,6458.0
Alphington,2005,9,O3,6285.0
Alphington,2005,9,PM10,7428.600000000008
Alphington,2005,9,PPM2.5,70.9
Alphington,2005,9,SO2,157.0
Alphington,2005,10,API,114.96999999999998
Alphington,2005,10,CO,274.7000000000009
Alphington,2005,10,NO2,7234.0
Alphington,2005,10,O3,10820.0
Alphington,2005,10,PM10,10552.700000000017
Alphington,2005,10,PPM2.5,50.900000000000006
Alphington,2005,10,SO2,140.0
Alphington,2005,11,API,288.9199999999996
Alphington,2005,11,CO,256.9000000000014
Alphington,2005,11,NO2,5364.0
Alphington,2005,11,O3,10240.0
Alphington,2005,11,PM10,10058.399999999994
Alphington,2005,11,PPM2.5,73.2
Alphington,2005,11,SO2,161.0
Alphington,2005,12,API,292.1300000000001
Alphington,2005,12,CO,256.50000000000097
Alphington,2005,12,NO2,5705.0
Alphington,2005,12,O3,12017.0
Alphington,2005,12,PM10,15267.300000000001
Alphington,2005,12,PPM2.5,89.20000000000002
Alphington,2005,12,SO2,171.0
Altona North,2005,1,API,289.54000000000053
