sp_name,year,month,param_id,value
Brighton,2016,2,API,279.00000006299985
Brighton,2016,2,O3,10181.0
Brighton,2016,3,API,343.1099989539997
Brighton,2016,3,O3,12040.0
Brighton,2016,4,API,65.539999686
Brighton,2016,4,O3,9965.0
Brooklyn,2016,1,API,370.52000008799985
Brooklyn,2016,1,PM10,13870.499994623995
Brooklyn,2016,2,API,341.5599994509998
Brooklyn,2016,2,PM10,16106.100005018012
Brooklyn,2016,3,API,391.02999956100007
Brooklyn,2016,3,PM10,16774.600051103
Brooklyn,2016,4,API,388.66999977499967
Brooklyn,2016,4,PM10,20319.799974159985
Brooklyn,2016,5,API,344.2000000100002
Brooklyn,2016,5,PM10,15963.300000045003
Brooklyn,2016,6,API,392.3799998100001
Brooklyn,2016,6,PM10,12838.499990857008
Brooklyn,2016,7,API,340.9400000219997
Brooklyn,2016,7,PM10,11318.099987092995
Brooklyn,2016,8,API,323.0799996399999
Brooklyn,2016,8,PM10,13105.199988474003
Brooklyn,2016,9,API,302.43000006999983
Brooklyn,2016,9,PM10,10512.399987346998
Brooklyn,2016,10,API,286.49000027399995
Brooklyn,2016,10,PM10,13706.599978902
Brooklyn,2016,11,API,325.80999925000015
Brooklyn,2016,11,PM10,13433.700013591992
Brooklyn,2016,12,API,373.7299994290004
Brooklyn,2016,12,PM10,16043.300041764003
Churchill,2016,1,BPM2.5,4712.799993896001
Churchill,2016,2,BPM2.5,4298.099995427998
Churchill,2016,3,BPM2.5,4446.000005702999
Churchill,2016,4,BPM2.5,7422.9000061399975
Churchill,2016,5,BPM2.5,4545.400008749999
Churchill,2016,6,BPM2.5,4943.100000092002
Churchill,2016,7,BPM2.5,3066.899999479001
Churchill,2016,8,BPM2.5,3521.8000061139983
Churchill,2016,9,BPM2.5,2258.199999701998
Churchill,2016,10,BPM2.5,2373.3000031349998
Churchill,2016,11,BPM2.5,3122.900004756996
Churchill,2016,12,BPM2.5,4355.499996737998
Dandenong,2016,1,API,388.0399993229997
Dandenong,2016,1,NO2,4914.0
Dandenong,2016,1,O3,11328.0
Dandenong,2016,1,PM10,14497.300007011996
Dandenong,2016,2,API,342.9399991510001
Dandenong,2016,2,NO2,5083.0
Dandenong,2016,2,O3,9671.0
Dandenong,2016,2,PM10,13895.200008845006
Dandenong,2016,3,API,389.339999458
Dandenong,2016,3,NO2,6336.0
Dandenong,2016,3,O3,11260.0
Dandenong,2016,3,PM10,14054.100026681
Dandenong,2016,4,API,412.9099995080005
Dandenong,2016,4,NO2,8740.0
Dandenong,2016,4,O3,9382.0
Dandenong,2016,4,PM10,14703.399998836003
Dandenong,2016,5,API,348.3099995739997
Dandenong,2016,5,NO2,7738.0
Dandenong,2016,5,O3,961.0
