sp_name,year,month,param_id,PV
Alphington,2008,1,API,406.1900000000004
Alphington,2008,1,CO,182.09999999999968
Alphington,2008,1,NO2,4598.0
Alphington,2008,1,O3,12813.0
Alphington,2008,1,PM10,16313.499999999995
Alphington,2008,1,PPM2.5,72.1
Alphington,2008,1,SO2,424.0
Alphington,2008,2,API,341.3900000000002
Alphington,2008,2,CO,147.30000000000007
Alphington,2008,2,NO2,4651.0
Alphington,2008,2,O3,8668.0
Alphington,2008,2,PM10,12711.899999999989
Alphington,2008,2,PPM2.5,64.60000000000001
Alphington,2008,2,SO2,371.0
Alphington,2008,3,API,387.6400000000003
Alphington,2008,3,CO,234.99999999999946
Alphington,2008,3,NO2,7104.0
Alphington,2008,3,O3,10747.0
Alphington,2008,3,PM10,16233.899999999992
Alphington,2008,3,PPM2.5,71.2
Alphington,2008,3,SO2,622.0
Alphington,2008,4,API,716.3599999999993
Alphington,2008,4,CO,317.0000000000005
Alphington,2008,4,NO2,8763.0
Alphington,2008,4,O3,8192.0
Alphington,2008,4,PM10,16866.400000000016
Alphington,2008,4,PPM2.5,142.9
Alphington,2008,4,SO2,420.0
Alphington,2008,5,API,574.8100000000002
Alphington,2008,5,CO,467.49999999999955
Alphington,2008,5,NO2,10665.0
Alphington,2008,5,O3,3700.0
Alphington,2008,5,PM10,12856.6
Alphington,2008,5,PPM2.5,127.99999999999999
Alphington,2008,5,SO2,697.0
Alphington,2008,6,API,522.7100000000004
Alphington,2008,6,CO,298.9999999999997
Alphington,2008,6,NO2,7718.0
Alphington,2008,6,O3,3278.0
Alphington,2008,6,PM10,10913.500000000013
Alphington,2008,6,PPM2.5,96.1
Alphington,2008,6,SO2,684.0
Alphington,2008,7,API,397.88
Alphington,2008,7,CO,349.5999999999995
Alphington,2008,7,NO2,9927.0
Alphington,2008,7,O3,7535.0
Alphington,2008,7,PM10,9442.59999999999
Alphington,2008,7,PPM2.5,72.59
Alphington,2008,7,SO2,460.0
Alphington,2008,8,API,368.9300000000004
Alphington,2008,8,CO,293.49999999999835
Alphington,2008,8,NO2,9518.0
Alphington,2008,8,O3,8803.0
Alphington,2008,8,PM10,8642.000000000002
Alphington,2008,8,PPM2.5,70.35
Alphington,2008,8,SO2,537.0
Alphington,2008,9,API,341.30999999999943
Alphington,2008,9,CO,204.8999999999985
Alphington,2008,9,NO2,7337.0
Alphington,2008,9,O3,10307.0
