sp_name,year,month,param_id,value
Alphington,2015.0,1.0,API,306.10999983899995
Alphington,2015.0,1.0,BPM2.5,4858.600001477
Alphington,2015.0,1.0,CO,145.5000031530002
Alphington,2015.0,1.0,HPM10,71.0
Alphington,2015.0,1.0,NO2,3704.0
Alphington,2015.0,1.0,O3,10545.0
Alphington,2015.0,1.0,PM10,11561.299995171996
Alphington,2015.0,1.0,PPM2.5,69.80000000000001
Alphington,2015.0,1.0,SO2,400.0
Alphington,2015.0,2.0,API,349.56999829800054
Alphington,2015.0,2.0,CO,164.10000313100028
Alphington,2015.0,2.0,HPM10,74.0
Alphington,2015.0,2.0,NO2,4691.0
Alphington,2015.0,2.0,O3,10523.0
Alphington,2015.0,2.0,PM10,11255.299997365999
Alphington,2015.0,2.0,PPM2.5,56.6
Alphington,2015.0,2.0,SO2,345.0
Alphington,2015.0,3.0,API,259.829999463
Alphington,2015.0,3.0,BPM2.5,3919.199995849
Alphington,2015.0,3.0,CO,157.90000302399966
Alphington,2015.0,3.0,HPM10,102.0
Alphington,2015.0,3.0,NO2,5039.0
Alphington,2015.0,3.0,O3,7682.0
Alphington,2015.0,3.0,PM10,9785.699979009005
Alphington,2015.0,3.0,PPM2.5,68.69999999999999
Alphington,2015.0,3.0,SO2,380.0
Alphington,2015.0,4.0,API,426.5699995840002
Alphington,2015.0,4.0,BPM2.5,6507.400001177999
Alphington,2015.0,4.0,CO,229.30000397000134
Alphington,2015.0,4.0,HPM10,72.0
Alphington,2015.0,4.0,NO2,8113.0
Alphington,2015.0,4.0,O3,8067.0
Alphington,2015.0,4.0,PM10,10238.999988184
Alphington,2015.0,4.0,PPM2.5,78.99999999999999
Alphington,2015.0,4.0,SO2,489.0
Alphington,2015.0,5.0,API,412.2499990700002
Alphington,2015.0,5.0,BPM2.5,6279.100002130003
Alphington,2015.0,5.0,CO,221.40000304200169
Alphington,2015.0,5.0,HPM10,77.28
Alphington,2015.0,5.0,NO2,7008.0
Alphington,2015.0,5.0,O3,9118.0
Alphington,2015.0,5.0,PM10,9605.10000491999
Alphington,2015.0,5.0,PPM2.5,84.39999999999999
Alphington,2015.0,5.0,SO2,72.0
Alphington,2015.0,6.0,API,512.7899998399994
Alphington,2015.0,6.0,BPM2.5,8764.100000860999
Alphington,2015.0,6.0,CO,311.10000321100165
Alphington,2015.0,6.0,HPM10,97.57999999999998
Alphington,2015.0,6.0,NO2,9230.0
Alphington,2015.0,6.0,O3,6353.0
Alphington,2015.0,6.0,PM10,10037.300004736007
Alphington,2015.0,6.0,PPM2.5,114.4
Alphington,2015.0,6.0,SO2,428.0
Alphington,2015.0,7.0,API,368.649999373
Alphington,2015.0,7.0,BPM2.5,6277.399993367995
Alphington,2015.0,7.0,CO,186.9000030650009
Alphington,2015.0,7.0,HPM10,62.68000000000001
Alphington,2015.0,7.0,NO2,6304.0
Alphington,2015.0,7.0,O3,8140.0
Alphington,2015.0,7.0,PM10,8504.100012909003
Alphington,2015.0,7.0,PPM2.5,59.1
Alphington,2015.0,7.0,SO2,199.0
Alphington,2015.0,8.0,API,300.4699998830001
Alphington,2015.0,8.0,BPM2.5,954.4000046389999
Alphington,2015.0,8.0,CO,183.70000317800142
Alphington,2015.0,8.0,HPM10,59.11000000000001
Alphington,2015.0,8.0,NO2,6952.0
Alphington,2015.0,8.0,O3,8195.0
Alphington,2015.0,8.0,PM10,6716.599996843005
Alphington,2015.0,8.0,PPM2.5,28.5
Alphington,2015.0,8.0,SO2,356.0
Alphington,2015.0,9.0,API,337.9100002970004
Alphington,2015.0,9.0,BPM2.5,4715.199993910002
Alphington,2015.0,9.0,CO,182.80000284300152
Alphington,2015.0,9.0,HPM10,55.55
Alphington,2015.0,9.0,NO2,6750.0
Alphington,2015.0,9.0,O3,11142.0
Alphington,2015.0,9.0,PM10,9500.900012844
Alphington,2015.0,9.0,PPM2.5,59.0
Alphington,2015.0,9.0,SO2,258.0
Alphington,2015.0,10.0,API,382.33999881000045
Alphington,2015.0,10.0,BPM2.5,5919.400000680998
Alphington,2015.0,10.0,CO,193.40000361100073
Alphington,2015.0,10.0,HPM10,102.06
Alphington,2015.0,10.0,NO2,6687.0
Alphington,2015.0,10.0,O3,14328.0
Alphington,2015.0,10.0,PM10,15018.299997283004
Alphington,2015.0,10.0,PPM2.5,77.50000000000001
Alphington,2015.0,10.0,SO2,249.0
Alphington,2015.0,11.0,API,298.82999986399943
Alphington,2015.0,11.0,BPM2.5,3912.300008472998
Alphington,2015.0,11.0,CO,167.0000032340004
Alphington,2015.0,11.0,HPM10,66.14
Alphington,2015.0,11.0,NO2,5104.0
Alphington,2015.0,11.0,O3,10234.0
Alphington,2015.0,11.0,PM10,11204.000011066002
Alphington,2015.0,11.0,PPM2.5,51.4
Alphington,2015.0,11.0,SO2,184.0
Alphington,2015.0,12.0,API,178.91999975000013
Alphington,2015.0,12.0,BPM2.5,5314.300003659002
Alphington,2015.0,12.0,CO,161.60000333000067
Alphington,2015.0,12.0,HPM10,56.67
Alphington,2015.0,12.0,NO2,5196.0
Alphington,2015.0,12.0,O3,6795.0
Alphington,2015.0,12.0,PM10,14537.200005697998
Alphington,2015.0,12.0,PPM2.5,61.9
Alphington,2015.0,12.0,SO2,380.0
Altona North,2015.0,1.0,NO2,3744.0
Altona North,2015.0,1.0,O3,11680.0
Altona North,2015.0,1.0,SO2,1399.0
Altona North,2015.0,2.0,NO2,4252.0
Altona North,2015.0,2.0,O3,11133.0
Altona North,2015.0,2.0,SO2,753.0
Altona North,2015.0,3.0,NO2,5279.0
Altona North,2015.0,3.0,O3,4154.0
Altona North,2015.0,3.0,SO2,1167.0
Altona North,2015.0,4.0,NO2,6131.0
Altona North,2015.0,4.0,SO2,1261.0
Altona North,2015.0,5.0,NO2,7500.0
