sp_name,year,month,param_id,PV
Alphington,2011,1,API,383.02999999999986
Alphington,2011,1,CO,15.499999999999972
Alphington,2011,1,NO2,5546.0
Alphington,2011,1,O3,10599.0
Alphington,2011,1,PM10,12013.899999999992
Alphington,2011,1,PPM2.5,87.6
Alphington,2011,1,SO2,375.0
Alphington,2011,2,API,305.18999999999994
Alphington,2011,2,CO,20.20000000000001
Alphington,2011,2,NO2,5329.0
Alphington,2011,2,O3,7557.0
Alphington,2011,2,PM10,8975.299999999997
Alphington,2011,2,PPM2.5,59.5
Alphington,2011,2,SO2,250.0
Alphington,2011,3,API,392.4599999999996
Alphington,2011,3,CO,28.90000000000007
Alphington,2011,3,NO2,6031.0
Alphington,2011,3,O3,8919.0
Alphington,2011,3,PM10,12541.500000000004
Alphington,2011,3,PPM2.5,66.7
Alphington,2011,3,SO2,71.0
Alphington,2011,4,API,386.75999999999976
Alphington,2011,4,CO,86.90000000000005
Alphington,2011,4,NO2,6455.0
Alphington,2011,4,O3,6550.0
Alphington,2011,4,PM10,10722.4
Alphington,2011,4,PPM2.5,72.7
Alphington,2011,4,SO2,349.0
Alphington,2011,5,API,429.7799999999999
Alphington,2011,5,CO,147.3999999999998
Alphington,2011,5,NO2,9429.0
Alphington,2011,5,O3,7359.0
Alphington,2011,5,PM10,10901.79999999999
Alphington,2011,5,PPM2.5,115.69999999999999
Alphington,2011,5,SO2,381.0
Alphington,2011,6,API,435.71999999999986
Alphington,2011,6,CO,198.19999999999942
Alphington,2011,6,NO2,8979.0
Alphington,2011,6,O3,8295.0
Alphington,2011,6,PM10,10545.699999999993
Alphington,2011,6,PPM2.5,47.5
Alphington,2011,6,SO2,306.0
Alphington,2011,7,API,379.0299999999997
Alphington,2011,7,CO,129.19999999999962
Alphington,2011,7,NO2,8827.0
Alphington,2011,7,O3,10887.0
Alphington,2011,7,PM10,9504.099999999997
Alphington,2011,7,PPM2.5,71.3
Alphington,2011,7,SO2,264.0
Alphington,2011,8,API,420.22999999999973
Alphington,2011,8,CO,116.89999999999958
Alphington,2011,8,NO2,8821.0
Alphington,2011,8,O3,9048.0
Alphington,2011,8,PM10,9773.800000000005
Alphington,2011,8,PPM2.5,81.19999999999999
Alphington,2011,8,SO2,207.0
Alphington,2011,9,API,342.8999999999997
Alphington,2011,9,CO,48.400000000000134
Alphington,2011,9,NO2,7288.0
Alphington,2011,9,O3,12797.0
Alphington,2011,9,PM10,11266.399999999987
Alphington,2011,9,PPM2.5,69.19999999999999
Alphington,2011,9,SO2,154.0
Alphington,2011,10,API,340.95000000000033
Alphington,2011,10,CO,35.30000000000013
Alphington,2011,10,NO2,6830.0
Alphington,2011,10,O3,12529.0
Alphington,2011,10,PM10,9997.900000000003
Alphington,2011,10,PPM2.5,62.300000000000004
Alphington,2011,10,SO2,232.0
Alphington,2011,11,API,288.22999999999985
Alphington,2011,11,CO,25.30000000000004
Alphington,2011,11,NO2,6253.0
Alphington,2011,11,O3,12699.0
Alphington,2011,11,PM10,10557.100000000011
Alphington,2011,11,PPM2.5,56.699999999999996
Alphington,2011,11,SO2,219.0
Alphington,2011,12,API,303.8499999999996
Alphington,2011,12,CO,7.3999999999999915
Alphington,2011,12,NO2,4152.0
Alphington,2011,12,O3,12553.0
Alphington,2011,12,PM10,10782.3
Alphington,2011,12,PPM2.5,59.900000000000006
Alphington,2011,12,SO2,133.0
Altona North,2011,1,NO2,4073.0
Altona North,2011,1,O3,12450.0
Altona North,2011,1,SO2,1152.0
Altona North,2011,2,NO2,3912.0
Altona North,2011,2,O3,9606.0
Altona North,2011,2,SO2,950.0
Altona North,2011,3,NO2,4756.0
Altona North,2011,3,O3,10037.0
Altona North,2011,3,SO2,1150.0
Altona North,2011,4,NO2,5758.0
Altona North,2011,4,O3,7149.0
Altona North,2011,4,SO2,1452.0
Altona North,2011,5,NO2,7070.0
Altona North,2011,5,O3,8926.0
Altona North,2011,5,SO2,996.0
Altona North,2011,6,NO2,8404.0
Altona North,2011,6,O3,7419.0
Altona North,2011,6,SO2,1232.0
Altona North,2011,7,NO2,7938.0
Altona North,2011,7,O3,9276.0
Altona North,2011,7,SO2,977.0
Altona North,2011,8,NO2,9781.0
Altona North,2011,8,O3,8012.0
Altona North,2011,8,SO2,729.0
Altona North,2011,9,NO2,6882.0
Altona North,2011,9,O3,12042.0
Altona North,2011,9,SO2,837.0
Altona North,2011,10,NO2,5879.0
Altona North,2011,10,O3,13419.0
Altona North,2011,10,SO2,513.0
Altona North,2011,11,NO2,5645.0
Altona North,2011,11,O3,12091.0
Altona North,2011,11,SO2,865.0
Altona North,2011,12,NO2,3298.0
Altona North,2011,12,O3,10640.0
Altona North,2011,12,SO2,828.0
Box.Hill,2011,1,API,363.5499999999999
Box.Hill,2011,1,CO,124.19999999999969
Box.Hill,2011,1,NO2,3794.0
Box.Hill,2011,1,O3,10432.0
Box.Hill,2011,1,PM10,12631.40000000001
Box.Hill,2011,1,SO2,-643.0
Box.Hill,2011,2,API,314.1500000000002
Box.Hill,2011,2,CO,136.69999999999993
Box.Hill,2011,2,NO2,4059.0
Box.Hill,2011,2,O3,7184.0
Box.Hill,2011,2,PM10,9406.900000000009
Box.Hill,2011,2,SO2,-803.0
Box.Hill,2011,3,API,379.44999999999993
Box.Hill,2011,3,CO,171.69999999999973
Box.Hill,2011,3,NO2,4504.0
Box.Hill,2011,3,O3,9363.0
Box.Hill,2011,3,PM10,12951.899999999989
Box.Hill,2011,3,SO2,-767.0
Box.Hill,2011,4,API,397.52000000000027
Box.Hill,2011,4,CO,237.49999999999986
Box.Hill,2011,4,NO2,5776.0
Box.Hill,2011,4,O3,6484.0
Box.Hill,2011,4,PM10,11199.800000000008
Box.Hill,2011,4,SO2,-627.0
Box.Hill,2011,5,API,431.8100000000002
Box.Hill,2011,5,CO,326.5999999999999
Box.Hill,2011,5,NO2,7902.0
Box.Hill,2011,5,O3,7268.0
Box.Hill,2011,5,PM10,10915.00000000001
Box.Hill,2011,5,SO2,-655.0
Box.Hill,2011,6,API,373.4999999999997
Box.Hill,2011,6,CO,309.4999999999999
Box.Hill,2011,6,NO2,6973.0
Box.Hill,2011,6,O3,7994.0
Box.Hill,2011,6,PM10,9289.099999999997
Box.Hill,2011,6,SO2,-790.0
Box.Hill,2011,7,API,334.45000000000016
Box.Hill,2011,7,CO,251.29999999999956
Box.Hill,2011,7,NO2,6088.0
Box.Hill,2011,7,O3,10891.0
Box.Hill,2011,7,PM10,8956.499999999996
Box.Hill,2011,7,SO2,-796.0
Box.Hill,2011,8,API,383.0499999999998
Box.Hill,2011,8,CO,244.49999999999991
Box.Hill,2011,8,NO2,7001.0
Box.Hill,2011,8,O3,8188.0
Box.Hill,2011,8,PM10,9724.700000000004
Box.Hill,2011,8,SO2,-1022.0
Box.Hill,2011,9,API,331.3600000000002
Box.Hill,2011,9,CO,174.69999999999996
Box.Hill,2011,9,NO2,5150.0
Box.Hill,2011,9,O3,11552.0
Box.Hill,2011,9,PM10,11628.60000000001
Box.Hill,2011,9,SO2,-968.0
Box.Hill,2011,10,API,338.9699999999991
Box.Hill,2011,10,CO,197.4999999999998
Box.Hill,2011,10,NO2,4785.0
Box.Hill,2011,10,O3,10919.0
Box.Hill,2011,10,PM10,10802.799999999981
Box.Hill,2011,10,SO2,-938.0
Box.Hill,2011,11,API,305.92999999999995
Box.Hill,2011,11,CO,158.3000000000003
Box.Hill,2011,11,NO2,3815.0
Box.Hill,2011,11,O3,12346.0
Box.Hill,2011,11,PM10,10687.800000000001
Box.Hill,2011,11,SO2,-1038.0
Box.Hill,2011,12,API,321.8999999999997
Box.Hill,2011,12,CO,145.80000000000013
Box.Hill,2011,12,NO2,2523.0
Box.Hill,2011,12,O3,12382.0
Box.Hill,2011,12,PM10,11662.799999999983
Box.Hill,2011,12,SO2,-1105.0
Brighton,2011,1,API,374.98
Brighton,2011,1,NO2,3768.0
Brighton,2011,1,O3,11540.0
Brighton,2011,1,PM10,13456.899999999992
Brighton,2011,2,API,302.95000000000033
Brighton,2011,2,NO2,3791.0
Brighton,2011,2,O3,8867.0
Brighton,2011,2,PM10,10796.100000000002
Brighton,2011,3,API,391.54000000000036
Brighton,2011,3,NO2,4424.0
Brighton,2011,3,O3,10403.0
Brighton,2011,3,PM10,12842.699999999983
Brighton,2011,4,API,412.0900000000002
Brighton,2011,4,NO2,6741.0
Brighton,2011,4,O3,8054.0
Brighton,2011,4,PM10,11274.200000000008
Brighton,2011,5,API,398.7299999999995
Brighton,2011,5,NO2,6962.0
Brighton,2011,5,O3,10355.0
Brighton,2011,5,PM10,10820.799999999997
Brighton,2011,6,API,356.5300000000002
Brighton,2011,6,NO2,8076.0
Brighton,2011,6,O3,8989.0
Brighton,2011,6,PM10,9591.500000000004
Brighton,2011,7,API,319.9600000000001
Brighton,2011,7,NO2,7532.0
Brighton,2011,7,O3,11333.0
Brighton,2011,7,PM10,9797.4
Brighton,2011,8,API,353.0699999999997
Brighton,2011,8,NO2,9641.0
Brighton,2011,8,O3,9127.0
Brighton,2011,8,PM10,9804.59999999999
Brighton,2011,9,API,304.87999999999954
Brighton,2011,9,NO2,5891.0
Brighton,2011,9,O3,13831.0
Brighton,2011,9,PM10,12008.69999999999
Brighton,2011,10,API,325.40999999999934
Brighton,2011,10,NO2,5177.0
Brighton,2011,10,O3,14198.0
Brighton,2011,10,PM10,10646.700000000015
Brighton,2011,11,API,270.62999999999994
Brighton,2011,11,NO2,4590.0
Brighton,2011,11,O3,13303.0
Brighton,2011,11,PM10,10556.200000000003
Brighton,2011,12,API,303.34999999999957
Brighton,2011,12,NO2,3226.0
Brighton,2011,12,O3,13151.0
Brighton,2011,12,PM10,12672.599999999999
Brooklyn,2011,1,API,129.50000000000003
Brooklyn,2011,1,PM10,16682.700000000004
Brooklyn,2011,1,PPM2.5,90.9
Brooklyn,2011,2,API,285.6699999999997
Brooklyn,2011,2,PM10,14239.999999999996
Brooklyn,2011,2,PPM2.5,60.7
Brooklyn,2011,3,API,415.4200000000001
Brooklyn,2011,3,PM10,16163.800000000016
Brooklyn,2011,3,PPM2.5,65.3
Brooklyn,2011,4,API,501.7300000000001
Brooklyn,2011,4,PM10,14679.499999999996
Brooklyn,2011,4,PPM2.5,71.3
Brooklyn,2011,5,API,440.97999999999956
Brooklyn,2011,5,PM10,11637.800000000023
Brooklyn,2011,5,PPM2.5,85.2
Brooklyn,2011,6,API,433.4000000000001
Brooklyn,2011,6,PM10,14312.600000000006
Brooklyn,2011,6,PPM2.5,68.2
